from,to,weight
v37_h59,v37_h29,0.022061999887228012
v37_h59,v37_h38,0.10475999861955643
v37_h59,v37_h53,0.0974079966545105
v37_h6,v37_h18,0.08269999921321869
v37_h6,v37_h29,0.011030999943614006
v37_h6,v37_h38,0.01838500052690506
v37_h6,v37_h53,0.0036770000588148832
v37_h60,v37_h18,0.014708000235259533
v37_h60,v37_h29,0.025738999247550964
v37_h60,v37_h38,0.05147799849510193
v37_h60,v37_h53,0.08637700229883194
v37_h61,v37_h18,0.01838500052690506
v37_h61,v37_h29,0.014708000235259533
v37_h61,v37_h38,0.022061999887228012
v37_h61,v37_h53,0.08269999921321869
v37_h62,v37_h18,0.0036770000588148832
v37_h62,v37_h38,0.0073540001176297665
v37_h62,v37_h53,0.011030999943614006
v37_h63,v37_h18,0.0073540001176297665
v37_h63,v37_h29,0.0036770000588148832
v37_h63,v37_h38,0.08269999921321869
v37_h63,v37_h53,0.029416000470519066
v37_h65,v37_h18,0.07166899740695953
v37_h65,v37_h29,0.01838500052690506
v37_h65,v37_h53,0.0073540001176297665
v37_h66,v37_h18,0.025738999247550964
v37_h66,v37_h29,0.022061999887228012
v37_h66,v37_h38,0.0073540001176297665
v37_h66,v37_h53,0.011030999943614006
v37_h67,v37_h18,0.01838500052690506
v37_h67,v37_h29,0.011030999943614006
v37_h67,v37_h38,0.0073540001176297665
v37_h67,v37_h53,0.014708000235259533
v37_h69,v37_h18,0.09373100101947784
v37_h69,v37_h29,0.011030999943614006
v37_h69,v37_h38,0.0073540001176297665
v37_h69,v37_h53,0.0073540001176297665
v37_h70,v37_h18,0.01838500052690506
v37_h70,v37_h29,0.011030999943614006
v37_h70,v37_h38,0.0073540001176297665
v37_h70,v37_h53,0.011030999943614006
v37_h71,v37_h18,0.08269999921321869
v37_h71,v37_h29,0.0073540001176297665
v37_h71,v37_h38,0.0073540001176297665
v37_h72,v37_h18,0.0073540001176297665
v37_h72,v37_h29,0.0036770000588148832
v37_h72,v37_h38,0.0036770000588148832
v37_h72,v37_h53,0.0036770000588148832
v37_h73,v37_h18,0.014708000235259533
v37_h73,v37_h29,0.0073540001176297665
v37_h73,v37_h53,0.0036770000588148832
v37_h74,v37_h18,0.0036770000588148832
v37_h75,v37_h18,0.06799200177192688
v37_h75,v37_h29,0.025738999247550964
v37_h75,v37_h38,0.09373100101947784
v37_h75,v37_h53,0.08637700229883194
v37_h76,v37_h18,0.011030999943614006
v37_h76,v37_h29,0.0073540001176297665
v37_h76,v37_h38,0.01838500052690506
v37_h76,v37_h53,0.014708000235259533
v37_h77,v37_h18,0.0073540001176297665
v37_h78,v37_h29,0.06063799932599068
v37_h79,v37_h18,0.011030999943614006
v37_h79,v37_h29,0.014708000235259533
v37_h79,v37_h38,0.0900539979338646
v37_h79,v37_h53,0.0974079966545105
v37_h80,v37_h18,0.0073540001176297665
v37_h80,v37_h38,0.0073540001176297665
v37_h80,v37_h53,0.0073540001176297665
v37_h81,v37_h18,0.011030999943614006
v37_h81,v37_h29,0.011030999943614006
v37_h81,v37_h38,0.011030999943614006
v37_h81,v37_h53,0.0073540001176297665
v37_h83,v37_h18,0.011030999943614006
v37_h83,v37_h29,0.014708000235259533
v37_h83,v37_h38,0.07166899740695953
v37_h83,v37_h53,0.022061999887228012
v37_h84,v37_h29,0.0073540001176297665
v37_h84,v37_h38,0.0073540001176297665
v37_h84,v37_h53,0.011030999943614006
v37_h85,v37_h18,0.025738999247550964
v37_h85,v37_h29,0.08269999921321869
v37_h85,v37_h38,0.022061999887228012
v37_h85,v37_h53,0.07902300357818604
v37_h87,v37_h18,0.07534600049257278
v37_h87,v37_h29,0.014708000235259533
v37_h87,v37_h38,0.01838500052690506
v37_h87,v37_h53,0.014708000235259533
v37_h88,v37_h18,0.07902300357818604
v37_h88,v37_h29,0.0073540001176297665
v37_h88,v37_h38,0.06799200177192688
v37_h88,v37_h53,0.014708000235259533
v37_h89,v37_h29,0.0036770000588148832
v37_h89,v37_h53,0.0036770000588148832
v37_h9,v37_h18,0.029416000470519066
v37_h9,v37_h29,0.011030999943614006
v37_h9,v37_h38,0.01838500052690506
v37_h9,v37_h53,0.014708000235259533
v37_h90,v37_h18,0.011030999943614006
v37_h90,v37_h38,0.0073540001176297665
v37_h91,v37_h18,0.0073540001176297665
v37_h91,v37_h29,0.014708000235259533
v37_h91,v37_h38,0.011030999943614006
v37_h91,v37_h53,0.0073540001176297665
v37_h92,v37_h18,0.0073540001176297665
v37_h92,v37_h29,0.014708000235259533
v37_h92,v37_h38,0.0036770000588148832
v37_h92,v37_h53,0.0036770000588148832
v37_h93,v37_h18,0.01838500052690506
v37_h93,v37_h29,0.07534600049257278
v37_h93,v37_h38,0.0073540001176297665
v37_h93,v37_h53,0.014708000235259533
v37_h94,v37_h18,0.0036770000588148832
v37_h94,v37_h29,0.011030999943614006
v37_h94,v37_h38,0.014708000235259533
v37_h94,v37_h53,0.011030999943614006
v37_h95,v37_h18,0.0036770000588148832
v37_h95,v37_h29,0.011030999943614006
v37_h95,v37_h38,0.0036770000588148832
v37_h95,v37_h53,0.011030999943614006
v37_h96,v37_h18,0.0036770000588148832
v37_h96,v37_h29,0.0036770000588148832
v37_h96,v37_h38,0.011030999943614006
v37_h96,v37_h53,0.011030999943614006
v37_h97,v37_h18,0.0073540001176297665
v37_h97,v37_h29,0.01838500052690506
v37_h97,v37_h38,0.014708000235259533
v37_h97,v37_h53,0.01838500052690506
v37_h98,v37_h18,0.01838500052690506
v37_h98,v37_h29,0.01838500052690506
v37_h98,v37_h38,0.07534600049257278
v37_h98,v37_h53,0.029416000470519066
v40_h1,v40_h6,0.0014000999508425593
v40_h1,v40_h7,0.0028001999016851187
v40_h1,v40_h9,0.0028001999016851187
v40_h1,v40_h11,0.0014000999508425593
v40_h1,v40_h24,0.0028001999016851187
v40_h1,v40_h35,0.0042003002017736435
